rank,url,exact_quote,class,why,page_type
1,/pages/flask; /pages/why-echo; /pages/wendy; /pages/heal-with-kelly; /pages/modernwisdom; /pages/tim-gray; /pages/vshred; /pages/coach-blue; /pages/ride-bynd; /pages/echo-pro-flask; /pages/echoh2water,"By neutralizing harmful free radicals and oxidative stress, hydrogen water has been proven to help regulate heart disease, diabetes, reduce wrinkles and skin issues, and speed up wound healing.",A,"""proven"" + heart disease/diabetes on sales landers; theme template, no footer disclaimer",landing/sales
2,/pages/flask; /pages/why-echo; /pages/wendy; /pages/heal-with-kelly; /pages/modernwisdom; /pages/tim-gray; /pages/vshred; /pages/coach-blue; /pages/ride-bynd; /pages/echo-pro-flask; /pages/echoh2water,"As a selective antioxidant, hydrogen water has been proven to improve mental clarity, prevent cognitive illness, reduce oxidative stress and inflammation, boost mental focus and clarity, and help with mental illnesses.",A,prevent cognitive illness / mental illness,landing/sales
3,/pages/flask + 8 influencer landers,"Diabetes Management [benefit grid with Metabolic Syndrome, Pain Relief] ... the Echo Flask turns ordinary water into pure therapeutic hydrogen water, on demand.",A,"product named as ""therapeutic"" beside disease list",landing/sales
4,/pages/flask + 8 influencer landers,"Hydrogen (H2) infused water has been clinically proven to support inflammation, digestion, focus and sleep!",C,"unsubstantiated ""clinically proven""",landing/sales
5,/pages/drfab,"At HydrogenStudies.com there are 1000+ studies showing hydrogen to be exert disease modifying effects with hundreds of Diseases including cancer, diabetes, Parkinsons, Rhuematoid Arthritis, and many more.",A,"disease-modifying claim, cancer/Parkinson's; in sitemap",page
6,/blogs/blog/why-everyone-is-talking-about-hydrogen-water-just-ingredients-dr-paul-barattiero,"Within two weeks of drinking Echo Water consistently, many people with gluten intolerance, dairy sensitivity, and food allergies find their symptoms resolve",A,names Echo product; #1 blog post by traffic,top-traffic blog
7,(same),"Metabolic health: 77 studies on hydrogen and diabetes, with 80–85% normalization rates across various trial lengths.",A,"diabetes ""normalization"" figure",top-traffic blog
8,(same),"Inhalation Units — for respiratory support, long COVID, and cytokine storm recovery; 11 studies and counting",A,COVID claim for a product category Echo sells,top-traffic blog
9,(same),Hydrogen lengthens telomeres in healthy cells (supporting proper cell replication) while shortening them in cancer cells (preventing abnormal replication).,A,cancer mechanism asserted as fact,top-traffic blog
10,(same),"Skin: Hydrogen baths have shown results for eczema, psoriasis, cystic acne, and collagen production — sometimes within a single bath.",A,post links Echo Revive bath,top-traffic blog
11,(same),"Research on Alzheimer's, bipolar disorder, schizophrenia, autism (linked to low ghrelin secretions), and ADHD points to hydrogen's neuroprotective properties.",B,autism/ADHD/schizophrenia,top-traffic blog
12,/blogs/blog/the-healing-power-of-hydrogen-a-natural-way-to-boost-your-immune-system,Studies on conditions like COVID-19 found that hydrogen water may calm an overactive immune response—helping prevent the body from doing more harm than the virus itself.,A,"COVID; byline ""Shopify API""",blog
13,/blogs/newsroom/the-lyme-boss-podcast,"It can help with conditions like high blood pressure, diabetes, Parkinson's, Alzheimer's, cancer, and even telomere lengthening.",A,third-party transcript republished,newsroom/3rd-party
14,/blogs/newsroom/echo-hydrogen-water-featured-in-heal-thyself-podcast,"Others include more efficiency in your body’s energy production, improved cognitive function, and it can even be an effective treatment for certain types of cancer.",A,cancer treatment,newsroom/3rd-party
15,/blogs/blog/10-natural-benefits-of-hydrogen-water-for-health-and-wellness,"By improving sensitivity to insulin and helping control levels of blood glucose, hydrogen-rich water can be a supportive element in the management of diabetes.",A,diabetes management; links products,blog
16,/blogs/blog/the-truth-about-mitochondria-restoration-how-hydrogen-water-can-help,"Because of this, scientists have found that it can be an effective treatment for a variety of conditions including metabolic syndrome, chronic fatigue syndrome, diabetes, cognitive decline, and more.",A,"""effective treatment"" for diabetes",blog
17,/blogs/blog/what-is-hydrogen-water,One of the main health benefits is protection from cardiovascular disease.,A,"ranks for head term; H2 ""Drinking Hydrogen Water To Treat Interstitial Lung Disease""",ranking blog
18,/blogs/blog/could-hydrogen-water-treat-mountain-sickness,"However, because oxidative stress is linked to mountain sickness, it’s a rational conclusion that hydrogen water would be an effective treatment for it.",A,"H2 ""How Hydrogen Water Can Treat Mountain Sickness""",blog
19,/blogs/blog/hydrogen-enriched-water-for-pets,"Hydrogen water can reduce inflammation, which can benefit pets with allergies or joint problems.",A,animal-drug claim,blog
20,/blogs/newsroom/hydrogen-water-a-must-for-preventing-disease-engendering-health,[Title] Hydrogen Water: A MUST for Preventing Disease & Engendering Health,A,"title-only, 0-word indexable page",newsroom
21,/blogs/newsroom/echo-launches-industry-s-first-smart-hydrogen-bottle-and-app-at-ces-2025,"Hydrogen water is a breakthrough therapy offering a powerful solution to reduce oxidative stress, improve cellular health, and to take endurance and recovery to a new level.",B,"FDA drug term ""breakthrough therapy""",newsroom
22,/blogs/blog/how-hydrogen-therapy-and-hydrogen-rich-water-can-improve-reproductive-health,"If you're interested in trying hydrogen-rich water for PMS or PCOS, consult with your doctor first to discuss if it's right for you.",B,invites use for PCOS; same post: ED in diabetics,blog
23,/products/echo-replacement-filters,"By thoroughly filtering your water, these filters can reduce your exposure to various toxins that can contribute to a variety of health issues, such as infection, liver and kidney damage, cancer, and more.",B,"product page, cancer",product
24,/products/echo-revive-hydrogen-bath-machine (rendered),"Published work on hydrogen bathing looks at wrinkles, blotches and skin conditions such as psoriasis.",B,psoriasis on product page,product
25,/products/pure-whole-home-water-filter,Made with FDA-approved materials and NSF 61 Certified Coconut Shell carbon,C,"FDA misuse (FDA does not ""approve"" materials)",product
